"Status","Gender","Race","Baseline"
"Did not pass Pre-screening Assessments","Male","Choose not to identify",48
"Did not pass Pre-screening Assessments","Male","Black or African-American",49
"Pending","Male","Hispanic or Latino",59
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",46
"Passed JSTs but not invited to Interview/Work Demo","Male","Hispanic or Latino",87
"Passed Pre-screening but not invited to JSTs","Male","White",49
"Invited to JSTs but did not complete","Male","Black or African-American",87
"Did not pass Pre-screening Assessments","Male","White",1
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",80
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",82
"Passed Pre-screening but not invited to JSTs","Female","Hispanic or Latino",20
"Pending","Male","Black or African-American",60
"Offer accepted","Male","White",96
"Pending","Male","Hispanic or Latino",79
"Passed JSTs but not invited to Interview/Work Demo","Male","White",87
"Pending","Male","White",89
"Passed Pre-screening but not invited to JSTs","Male","Choose not to identify",36
"Passed Pre-screening but not invited to JSTs","Male","White",49
"Passed Pre-screening but not invited to JSTs","Choose not to identify","Choose not to identify",45
"Failed JSTs","Male","Black or African-American",40
"Pending","Male","White",87
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",39
"Passed Pre-screening but not invited to JSTs","Male","Two or More Races",21
"Did not pass Pre-screening Assessments","Male","White",21
"Invited to JSTs but did not complete","Male","White",87
"Offer accepted","Male","Black or African-American",79
"Did not pass Pre-screening Assessments","Choose not to identify","Choose not to identify",24
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",83
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",21
"Passed Pre-screening but not invited to JSTs","Male","White",47
"Passed Pre-screening but not invited to JSTs","Female","White",46
"Pending","Male","White",62
"Passed JSTs but not invited to Interview/Work Demo","Male","Hispanic or Latino",63
"Passed Pre-screening but not invited to JSTs","Male","White",89
"Did not pass Pre-screening Assessments","Male","Black or African-American",42
"Did not pass Pre-screening Assessments","Male","Black or African-American",16
"Passed Pre-screening but not invited to JSTs","Male","White",42
"Failed JSTs","Male","Black or African-American",28
"Invited to JSTs but did not complete","Male","Black or African-American",58
"Passed JSTs but not invited to Interview/Work Demo","Male","White",62
"Did not pass Pre-screening Assessments","Male","White",87
"Invited to JSTs but did not complete","Male","White",74
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",36
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",47
"Invited to JSTs but did not complete","Male","Black or African-American",65
"Did not pass Pre-screening Assessments","Male","White",2
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",45
"Failed Work Demo","Male","White",41
"Passed Pre-screening but not invited to JSTs","Male","White",10
"Did not pass Pre-screening Assessments","Male","White",72
"Invited to JSTs but did not complete","Male","White",74
"Passed Pre-screening but not invited to JSTs","Female","White",5
"Invited to JSTs but did not complete","Male","Two or More Races",89
"Passed Pre-screening but not invited to JSTs","Male","White",81
"Passed Pre-screening but not invited to JSTs","Male","White",24
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",52
"Did not pass Pre-screening Assessments","Male","White",39
"Did not pass Pre-screening Assessments","Male","White",35
"Failed JSTs","Male","Black or African-American",20
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",38
"Failed JSTs","Female","White",36
"Passed JSTs but not invited to Interview/Work Demo","Male","White",91
"Passed Pre-screening but not invited to JSTs","Female","White",18
"Passed Pre-screening but not invited to JSTs","Male","White",36
"Passed Pre-screening but not invited to JSTs","Female","Hispanic or Latino",20
"Offer accepted","Male","White",94
"Passed Pre-screening but not invited to JSTs","Male","White",23
"Offer accepted","Male","American Indian or Alaska Native",95
"Did not pass Pre-screening Assessments","Female","Hispanic or Latino",1
"Did not pass Pre-screening Assessments","Female","White",1
"Passed Pre-screening but not invited to JSTs","Male","Asian",42
"Invited to JSTs but did not complete","Female","White",62
"Pending","Male","White",90
"Passed Pre-screening but not invited to JSTs","Male","White",49
"Pending","Male","White",80
"Passed Pre-screening but not invited to JSTs","Male","White",26
"Failed JSTs","Male","White",24
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",64
"Pending","Male","Hispanic or Latino",85
"Did not pass Pre-screening Assessments","Female","White",72
"Did not pass Pre-screening Assessments","Male","White",14
"Pending","Male","White",67
"Invited to Work Demo but did not complete","Male","White",77
"Did not pass Pre-screening Assessments","Male","Two or More Races",17
"Pending","Male","White",84
"Invited to JSTs but did not complete","Male","White",75
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",37
"Failed JSTs","Male","Black or African-American",69
"Passed Pre-screening but not invited to JSTs","Male","White",41
"Pending","Male","White",85
"Invited to JSTs but did not complete","Male","White",87
"Failed JSTs","Male","Choose not to identify",50
"Passed JSTs but not invited to Interview/Work Demo","Male","White",90
"Failed JSTs","Male","Two or More Races",59
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",38
"Failed JSTs","Male","Two or More Races",34
"Passed JSTs but not invited to Interview/Work Demo","Male","Black or African-American",86
"Did not pass Pre-screening Assessments","Male","Black or African-American",44
"Pending","Male","Hispanic or Latino",69
"Pending","Male","Hispanic or Latino",75
"Offer accepted","Male","White",97
"Passed Pre-screening but not invited to JSTs","Male","White",31
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",49
"Did not pass Pre-screening Assessments","Male","White",69
"Pending","Male","White",81
"Invited to JSTs but did not complete","Male","Black or African-American",88
"Pending","Male","White",82
"Did not pass Pre-screening Assessments","Male","White",10
"Did not pass Pre-screening Assessments","Male","Two or More Races",1
"Passed JSTs but not invited to Interview/Work Demo","Male","Choose not to identify",64
"Passed Pre-screening but not invited to JSTs","Male","White",39
"Did not pass Pre-screening Assessments","Male","Two or More Races",1
"Passed Pre-screening but not invited to JSTs","Male","Asian",34
"Passed Pre-screening but not invited to JSTs","Male","White",56
"Failed JSTs","Male","Black or African-American",12
"Failed JSTs","Male","Black or African-American",29
"Passed Pre-screening but not invited to JSTs","Male","Asian",41
"Invited to JSTs but did not complete","Male","Black or African-American",65
"Pending","Male","Black or African-American",52
"Did not pass Pre-screening Assessments","Male","White",19
"Passed Pre-screening but not invited to JSTs","Male","Two or More Races",34
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",49
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",12
"Passed JSTs but not invited to Interview/Work Demo","Male","Black or African-American",58
"Failed JSTs","Female","Black or African-American",54
"Invited to JSTs but did not complete","Male","White",71
"Did not pass Pre-screening Assessments","Male","Black or African-American",26
"Invited to JSTs but did not complete","Male","Two or More Races",77
"Did not pass Pre-screening Assessments","Male","White",26
"Did not pass Pre-screening Assessments","Female","Black or African-American",13
"Pending","Male","White",64
"Pending","Male","Black or African-American",81
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",81
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",97
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",75
"Invited to JSTs but did not complete","Male","Hispanic or Latino",87
"Failed Work Demo","Male","Black or African-American",60
"Passed Pre-screening but not invited to JSTs","Male","Choose not to identify",44
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",67
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",35
"Failed Work Demo","Male","Black or African-American",24
"Passed Pre-screening but not invited to JSTs","Male","White",87
"Pending","Female","Black or African-American",47
"Passed JSTs but not invited to Interview/Work Demo","Male","Black or African-American",80
"Passed Pre-screening but not invited to JSTs","Male","White",62
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",72
"Passed JSTs but not invited to Interview/Work Demo","Male","White",85
"Invited to JSTs but did not complete","Male","Black or African-American",84
"Passed Pre-screening but not invited to JSTs","Choose not to identify","Choose not to identify",49
"Pending","Male","White",73
"Failed JSTs","Male","Two or More Races",47
"Pending","Female","White",52
"Passed JSTs but not invited to Interview/Work Demo","Male","White",71
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",15
"Passed Pre-screening but not invited to JSTs","Female","White",15
"Failed Work Demo","Male","Black or African-American",56
"Passed Pre-screening but not invited to JSTs","Male","Asian",49
"Passed JSTs but not invited to Interview/Work Demo","Male","White",70
"Passed Pre-screening but not invited to JSTs","Male","Asian",28
"Failed JSTs","Male","White",35
"Invited to JSTs but did not complete","Male","White",61
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",53
"Pending","Male","White",89
"Passed Pre-screening but not invited to JSTs","Male","White",33
"Invited to JSTs but did not complete","Male","Two or More Races",75
"Passed Pre-screening but not invited to JSTs","Male","Choose not to identify",64
"Did not pass Pre-screening Assessments","Male","White",57
"Did not pass Pre-screening Assessments","Male","White",12
"Did not pass Pre-screening Assessments","Male","Asian",26
"Invited to JSTs but did not complete","Male","Black or African-American",74
"Did not pass Pre-screening Assessments","Male","White",9
"Pending","Male","Asian",70
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",34
"Invited to JSTs but did not complete","Male","Two or More Races",85
"Pending","Female","White",79
"Failed Work Demo","Male","White",46
"Invited to JSTs but did not complete","Male","White",70
"Invited to JSTs but did not complete","Male","White",50
"Invited to JSTs but did not complete","Male","White",84
"Offer accepted","Male","Black or African-American",89
"Passed Pre-screening but not invited to JSTs","Male","White",41
"Passed Pre-screening but not invited to JSTs","Male","White",82
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",26
"Failed Work Demo","Male","Choose not to identify",51
"Did not pass Pre-screening Assessments","Male","Black or African-American",2
"Invited to JSTs but did not complete","Male","Hispanic or Latino",85
"Passed Pre-screening but not invited to JSTs","Male","Two or More Races",19
"Pending","Male","Hispanic or Latino",78
"Pending","Male","White",82
"Passed Pre-screening but not invited to JSTs","Male","White",36
"Did not pass Pre-screening Assessments","Male","Black or African-American",5
"Did not pass Pre-screening Assessments","Male","Asian",9
"Passed Pre-screening but not invited to JSTs","Male","White",39
"Invited to JSTs but did not complete","Male","White",84
"Pending","Male","White",83
"Pending","Female","Hispanic or Latino",82
"Passed Pre-screening but not invited to JSTs","Male","White",29
"Passed Pre-screening but not invited to JSTs","Female","Black or African-American",47
"Passed Pre-screening but not invited to JSTs","Male","White",73
"Passed Pre-screening but not invited to JSTs","Male","White",48
"Failed Work Demo","Choose not to identify","Choose not to identify",40
"Passed Pre-screening but not invited to JSTs","Male","White",93
"Did not pass Pre-screening Assessments","Male","White",54
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",29
"Did not pass Pre-screening Assessments","Male","Two or More Races",34
"Invited to JSTs but did not complete","Male","White",79
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",22
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",47
"Passed Pre-screening but not invited to JSTs","Male","White",22
"Did not pass Pre-screening Assessments","Male","White",86
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",43
"Passed Pre-screening but not invited to JSTs","Female","Black or African-American",47
"Invited to JSTs but did not complete","Female","Black or African-American",88
"Did not pass Pre-screening Assessments","Male","White",15
"Pending","Male","Hispanic or Latino",48
"Invited to JSTs but did not complete","Male","Black or African-American",61
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",90
"Passed Pre-screening but not invited to JSTs","Male","Asian",85
"Pending","Male","Black or African-American",79
"Passed JSTs but not invited to Interview/Work Demo","Male","Choose not to identify",94
"Did not pass Pre-screening Assessments","Male","White",73
"Failed JSTs","Male","Choose not to identify",51
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",22
"Pending","Male","White",90
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",61
"Passed Pre-screening but not invited to JSTs","Male","White",94
"Failed Work Demo","Male","Black or African-American",39
"Failed Work Demo","Male","Hispanic or Latino",63
"Passed Pre-screening but not invited to JSTs","Male","White",39
"Passed Pre-screening but not invited to JSTs","Male","White",74
"Passed Pre-screening but not invited to JSTs","Male","White",45
"Did not pass Pre-screening Assessments","Male","Black or African-American",40
"Pending","Male","White",78
"Did not pass Pre-screening Assessments","Male","Black or African-American",3
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",28
"Did not pass Pre-screening Assessments","Male","Two or More Races",35
"Failed Work Demo","Male","Black or African-American",52
"Did not pass Pre-screening Assessments","Male","White",16
"Invited to JSTs but did not complete","Male","White",62
"Failed JSTs","Male","Black or African-American",12
"Did not pass Pre-screening Assessments","Male","Black or African-American",28
"Pending","Male","Asian",81
"Failed Work Demo","Male","Black or African-American",51
"Did not pass Pre-screening Assessments","Female","White",7
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",37
"Passed Pre-screening but not invited to JSTs","Male","Choose not to identify",19
"Passed Pre-screening but not invited to JSTs","Male","White",33
"Did not pass Pre-screening Assessments","Female","White",38
"Failed JSTs","Male","White",65
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",27
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",14
"Passed Pre-screening but not invited to JSTs","Female","White",30
"Pending","Male","White",77
"Passed Pre-screening but not invited to JSTs","Male","White",25
"Passed JSTs but not invited to Interview/Work Demo","Male","White",95
"Did not pass Pre-screening Assessments","Male","Black or African-American",49
"Pending","Male","Hispanic or Latino",63
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",48
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",26
"Invited to JSTs but did not complete","Male","White",52
"Pending","Male","Black or African-American",70
"Passed Pre-screening but not invited to JSTs","Male","Two or More Races",29
"Passed JSTs but not invited to Interview/Work Demo","Male","White",75
"Passed Pre-screening but not invited to JSTs","Male","White",22
"Did not pass Pre-screening Assessments","Male","White",40
"Failed JSTs","Female","Black or African-American",21
"Did not pass Pre-screening Assessments","Male","Black or African-American",11
"Passed Pre-screening but not invited to JSTs","Female","Black or African-American",13
"Passed Pre-screening but not invited to JSTs","Male","White",24
"Passed Pre-screening but not invited to JSTs","Male","White",40
"Did not pass Pre-screening Assessments","Male","Black or African-American",2
"Passed Pre-screening but not invited to JSTs","Female","Black or African-American",7
"Invited to JSTs but did not complete","Male","White",64
"Passed Pre-screening but not invited to JSTs","Male","White",32
"Invited to JSTs but did not complete","Female","Hispanic or Latino",87
"Invited to JSTs but did not complete","Male","White",83
"Invited to JSTs but did not complete","Male","White",79
"Did not pass Pre-screening Assessments","Male","Black or African-American",48
"Passed Pre-screening but not invited to JSTs","Male","White",29
"Invited to JSTs but did not complete","Male","White",53
"Failed JSTs","Male","Choose not to identify",66
"Invited to JSTs but did not complete","Choose not to identify","Choose not to identify",88
"Passed Pre-screening but not invited to JSTs","Male","White",29
"Passed Pre-screening but not invited to JSTs","Male","White",84
"Pending","Male","Hispanic or Latino",66
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",40
"Did not pass Pre-screening Assessments","Male","Black or African-American",6
"Did not pass Pre-screening Assessments","Male","White",73
"Pending","Male","Hispanic or Latino",49
"Invited to JSTs but did not complete","Male","White",94
"Invited to JSTs but did not complete","Male","Two or More Races",91
"Did not pass Pre-screening Assessments","Male","White",34
"Pending","Male","Hispanic or Latino",58
"Did not pass Pre-screening Assessments","Male","Asian",76
"Did not pass Pre-screening Assessments","Male","White",87
"Passed Pre-screening but not invited to JSTs","Male","White",67
"Did not pass Pre-screening Assessments","Male","Black or African-American",62
"Invited to JSTs but did not complete","Male","Hispanic or Latino",63
"Failed JSTs","Male","Black or African-American",4
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",1
"Pending","Male","Black or African-American",75
"Did not pass Pre-screening Assessments","Male","Black or African-American",4
"Did not pass Pre-screening Assessments","Male","White",63
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",27
"Failed JSTs","Male","Two or More Races",53
"Invited to JSTs but did not complete","Male","White",57
"Invited to JSTs but did not complete","Male","White",96
"Passed JSTs but not invited to Interview/Work Demo","Male","Hispanic or Latino",78
"Passed Pre-screening but not invited to JSTs","Male","White",23
"Passed Pre-screening but not invited to JSTs","Male","White",30
"Failed JSTs","Male","Black or African-American",19
"Passed JSTs but not invited to Interview/Work Demo","Female","Black or African-American",56
"Passed Pre-screening but not invited to JSTs","Male","Native Hawaiian or Other Pacific Islander",18
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",31
"Did not pass Pre-screening Assessments","Male","White",43
"Passed Pre-screening but not invited to JSTs","Male","White",42
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",36
"Failed JSTs","Female","Black or African-American",24
"Pending","Male","Hispanic or Latino",87
"Failed Work Demo","Male","White",40
"Failed JSTs","Male","Black or African-American",14
"Passed Pre-screening but not invited to JSTs","Male","Two or More Races",47
"Passed Pre-screening but not invited to JSTs","Male","Two or More Races",60
"Did not pass Pre-screening Assessments","Male","Black or African-American",15
"Did not pass Pre-screening Assessments","Male","White",18
"Invited to JSTs but did not complete","Male","White",55
"Pending","Female","White",79
"Pending","Male","White",72
"Failed Work Demo","Male","White",56
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",8
"Passed Pre-screening but not invited to JSTs","Male","White",33
"Did not pass Pre-screening Assessments","Male","Black or African-American",21
"Offer accepted","Male","Hispanic or Latino",82
"Failed JSTs","Male","Black or African-American",7
"Failed Work Demo","Male","Black or African-American",37
"Invited to JSTs but did not complete","Male","Choose not to identify",78
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",88
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",66
"Passed Pre-screening but not invited to JSTs","Male","White",43
"Invited to JSTs but did not complete","Male","Black or African-American",52
"Pending","Male","Black or African-American",86
"Passed JSTs but not invited to Interview/Work Demo","Male","White",86
"Invited to Work Demo but did not complete","Male","Hispanic or Latino",69
"Passed JSTs but not invited to Interview/Work Demo","Male","White",90
"Pending","Male","White",79
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",14
"Passed Pre-screening but not invited to JSTs","Male","Black or African-American",10
"Invited to JSTs but did not complete","Male","White",92
"Did not pass Pre-screening Assessments","Male","Hispanic or Latino",63
"Pending","Male","White",70
"Pending","Male","White",75
"Pending","Female","Black or African-American",66
"Passed Pre-screening but not invited to JSTs","Male","Hispanic or Latino",17
"Failed JSTs","Female","Black or African-American",41
"Invited to JSTs but did not complete","Male","Hispanic or Latino",86
"Passed Pre-screening but not invited to JSTs","Male","White",84
"Passed JSTs but not invited to Interview/Work Demo","Male","Black or African-American",72
